created_at,text
2021-12-04 10:17:16,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:16:25,Even Portugal knows that Ronaldo is not the best player😭. The whole fanbase is washed up. #LM7 #Messi #Ronaldo https://t.co/GwZ43OvJJX
2021-12-04 10:15:24,RT @18Aadhii: #LM9 in my books. #LM7 https://t.co/nusy93she4
2021-12-04 10:14:08,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:12:37,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:10:22,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:10:03,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:09:52,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:09:17,"RT @messi10_rey: Edit: Lionel #Messi #LM7..#BallonDor #FACTOS👍👀 
MESS7 is the definition of greatness !!! https://t.co/RWa1aISbgS"
2021-12-04 10:08:50,"RT @messi10_rey: Edit: Lionel #Messi #LM7..#BallonDor #FACTOS👍👀 
MESS7 is the definition of greatness !!! https://t.co/RWa1aISbgS"
2021-12-04 10:08:37,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 10:07:49,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:07:44,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 10:06:54,"RT @SemperFiMessi: @Cristiano @RebelsGaming_gg I'm born in Portugal, I'm a Man Utd fan, but Leo Messi deserved the Ballond'or Award. I'm as…"
2021-12-04 10:06:30,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
